Day,Temperature,DewPoint,Humidity,WindSpeed,Pressure,Precipitation,Month,Year
1,88.8,74.5,63.4,8.9,28.8,0.0,7,2023
2,91.5,75.8,61.3,6.7,28.8,0.0,7,2023
3,91.7,77.0,63.7,11.0,28.8,0.0,7,2023
4,88.5,74.3,64.0,13.0,28.7,0.0,7,2023
5,76.0,72.9,90.2,15.0,28.8,0.0,7,2023
6,79.1,73.0,81.7,12.7,28.8,0.0,7,2023
7,84.3,75.2,75.0,9.5,28.9,0.0,7,2023
8,78.0,74.7,90.4,11.9,27.1,0.0,7,2023
9,79.0,74.1,85.3,11.2,28.8,0.0,7,2023
10,83.8,73.4,72.7,9.6,28.8,0.0,7,2023
11,87.0,74.5,67.8,7.2,28.2,0.0,7,2023
12,87.5,75.5,68.3,9.5,28.8,0.0,7,2023
13,86.5,75.1,69.1,9.3,28.8,0.0,7,2023
14,89.0,77.1,68.3,10.8,28.8,0.0,7,2023
15,88.3,77.7,70.6,7.1,28.8,0.0,7,2023
16,84.1,77.7,81.0,10.4,28.8,0.0,7,2023
17,88.6,78.1,71.3,6.9,28.8,0.0,7,2023
18,89.4,80.1,73.8,10.2,28.8,0.0,7,2023
19,84.4,79.8,85.3,11.3,28.8,0.0,7,2023
20,88.2,79.8,76.0,5.3,28.8,0.0,7,2023
21,86.5,78.9,77.9,9.4,28.8,0.0,7,2023
22,79.3,76.0,90.3,12.0,26.6,0.0,7,2023
23,86.6,75.8,71.2,8.1,28.9,0.0,7,2023
24,87.3,78.2,74.3,7.5,28.9,0.0,7,2023
25,85.2,75.9,75.2,7.3,28.9,0.0,7,2023
26,86.9,78.9,77.4,8.1,28.9,0.0,7,2023
27,82.9,77.1,83.7,7.5,28.9,0.0,7,2023
28,86.3,76.7,73.8,7.4,28.8,0.0,7,2023
29,80.3,75.2,85.1,8.7,28.8,0.0,7,2023
30,85.6,75.5,73.3,3.2,28.8,0.0,7,2023
31,90.0,76.0,64.3,5.2,28.7,0.0,7,2023
1,86.7,78.7,77.2,6.3,28.7,0.0,8,2023
2,88.8,78.2,71.5,6.7,28.7,0.0,8,2023
3,88.2,76.9,69.9,5.2,28.7,0.0,8,2023
4,91.7,78.4,65.5,8.3,28.8,0.0,8,2023
5,86.9,77.5,73.6,7.6,28.8,0.0,8,2023
6,90.5,77.8,66.7,7.5,28.7,0.0,8,2023
7,88.7,77.6,70.3,7.0,28.7,0.0,8,2023
8,91.0,77.1,64.6,8.3,28.7,0.0,8,2023
9,89.7,78.3,69.0,6.7,28.8,0.0,8,2023
10,88.8,78.7,71.9,8.3,28.9,0.0,8,2023
11,87.7,77.2,71.8,7.3,28.3,0.0,8,2023
12,90.2,76.7,65.7,12.1,28.8,0.0,8,2023
13,91.6,76.3,61.8,10.6,28.7,0.0,8,2023
14,88.1,78.3,72.6,12.2,28.8,0.0,8,2023
15,87.0,76.2,71.3,6.7,27.7,0.0,8,2023
16,89.7,77.4,67.5,4.5,28.9,0.0,8,2023
17,91.0,76.8,63.6,6.0,28.9,0.0,8,2023
18,91.8,78.3,64.9,5.2,28.9,0.0,8,2023
19,89.6,77.4,67.9,4.0,28.3,0.0,8,2023
20,89.4,78.3,70.1,4.5,28.9,0.0,8,2023
21,90.4,78.5,68.7,5.6,28.9,0.0,8,2023
22,93.2,79.6,64.7,7.0,28.8,0.0,8,2023
23,91.6,78.0,64.9,10.8,28.7,0.0,8,2023
24,88.2,77.3,70.9,9.7,28.7,0.0,8,2023
25,86.2,75.8,72.1,10.1,28.7,0.0,8,2023
26,84.0,75.1,75.3,6.2,28.8,0.0,8,2023
27,87.1,73.2,64.7,6.8,28.8,0.0,8,2023
28,83.8,72.4,69.5,9.3,28.8,0.0,8,2023
29,85.8,71.1,64.0,7.9,28.9,0.0,8,2023
30,88.8,71.2,57.2,5.4,28.9,0.0,8,2023
31,90.3,73.2,58.2,5.2,28.9,0.0,8,2023
1,90.7,73.3,58.2,6.4,28.9,0.0,9,2023
2,91.0,72.8,56.4,5.8,28.9,0.0,9,2023
3,90.3,72.5,56.9,6.3,28.9,0.0,9,2023
4,89.9,73.3,60.0,4.8,28.9,0.0,9,2023
5,87.5,71.6,60.4,7.4,28.9,0.0,9,2023
6,88.4,71.5,57.8,5.9,28.9,0.0,9,2023
7,91.0,74.0,59.2,3.1,28.9,0.0,9,2023
8,89.7,77.0,66.5,7.5,28.9,0.0,9,2023
9,88.0,75.3,67.1,8.3,28.9,0.0,9,2023
10,86.2,76.7,73.9,8.4,28.8,0.0,9,2023
11,86.2,75.1,70.9,7.2,28.9,0.0,9,2023
12,88.0,76.3,68.8,5.9,28.9,0.0,9,2023
13,89.4,77.1,67.7,5.2,28.9,0.0,9,2023
14,86.3,77.9,76.0,5.8,28.3,0.0,9,2023
15,85.3,76.2,75.2,6.8,28.9,0.0,9,2023
16,85.0,75.6,74.3,6.1,28.9,0.0,9,2023
17,81.7,75.0,80.9,8.5,28.9,0.0,9,2023
18,78.8,71.9,78.9,12.0,28.9,0.0,9,2023
19,75.1,73.1,93.6,10.0,29.0,0.0,9,2023
20,83.5,74.5,75.1,3.6,29.0,0.0,9,2023
21,86.5,76.0,71.7,2.8,28.9,0.0,9,2023
22,83.1,75.4,78.2,5.5,28.9,0.0,9,2023
23,77.2,72.1,81.9,8.9,28.4,0.0,9,2023
24,78.8,71.7,78.9,5.4,29.0,0.0,9,2023
25,79.9,71.1,75.5,5.2,29.0,0.0,9,2023
26,82.2,70.3,68.9,3.4,29.0,0.0,9,2023
27,83.4,68.4,62.0,3.5,29.0,0.0,9,2023
28,86.0,72.1,64.0,2.3,29.0,0.0,9,2023
29,84.0,71.1,66.2,4.1,29.0,0.0,9,2023
30,82.3,66.0,59.9,6.3,29.0,0.0,9,2023
1,81.7,61.1,51.9,2.0,29.0,0.0,10,2023
